Categoria: All;
;
massive open online courses: (World);
2004-01;0
2004-02;0
2004-03;0
2004-04;0
2004-05;0
2004-06;0
2004-07;0
2004-08;0
2004-09;0
2004-10;0
2004-11;0
2004-12;0
2005-01;0
2005-02;0
2005-03;0
2005-04;0
2005-05;0
2005-06;0
2005-07;0
2005-08;0
2005-09;0
2005-10;0
2005-11;0
2005-12;0
2006-01;0
2006-02;0
2006-03;0
2006-04;0
2006-05;0
2006-06;0
2006-07;0
2006-08;0
2006-09;0
2006-10;0
2006-11;0
2006-12;0
2007-01;0
2007-02;0
2007-03;0
2007-04;0
2007-05;0
2007-06;0
2007-07;0
2007-08;0
2007-09;0
2007-10;0
2007-11;0
2007-12;0
2008-01;0
2008-02;0
2008-03;0
2008-04;0
2008-05;0
2008-06;0
2008-07;0
2008-08;0
2008-09;0
2008-10;0
2008-11;0
2008-12;0
2009-01;0
2009-02;0
2009-03;0
2009-04;4
2009-05;0
2009-06;0
2009-07;0
2009-08;0
2009-09;0
2009-10;0
2009-11;0
2009-12;0
2010-01;0
2010-02;0
2010-03;0
2010-04;0
2010-05;0
2010-06;0
2010-07;0
2010-08;3
2010-09;0
2010-10;0
2010-11;2
2010-12;0
2011-01;0
2011-02;2
2011-03;0
2011-04;0
2011-05;0
2011-06;2
2011-07;0
2011-08;0
2011-09;0
2011-10;0
2011-11;0
2011-12;2
2012-01;0
2012-02;4
2012-03;8
2012-04;5
2012-05;6
2012-06;10
2012-07;15
2012-08;21
2012-09;35
2012-10;41
2012-11;63
2012-12;58
2013-01;60
2013-02;58
2013-03;63
2013-04;68
2013-05;86
2013-06;57
2013-07;74
2013-08;71
2013-09;92
2013-10;100
2013-11;73
2013-12;63
2014-01;95
2014-02;81
2014-03;81
2014-04;70
2014-05;64
2014-06;72
2014-07;69
2014-08;62
2014-09;82
2014-10;68
2014-11;61
2014-12;60
2015-01;60
2015-02;60
2015-03;55
2015-04;57
2015-05;56
2015-06;50
2015-07;44
2015-08;39
2015-09;62
2015-10;47
2015-11;34
2015-12;48
2016-01;32
2016-02;31
2016-03;38
2016-04;26
2016-05;35
2016-06;34
2016-07;41
2016-08;28
2016-09;25
2016-10;32
2016-11;35
2016-12;33
2017-01;36
2017-02;26
2017-03;35
2017-04;28
2017-05;37
2017-06;32
2017-07;30
2017-08;38
2017-09;33
2017-10;30
2017-11;37
2017-12;26
2018-01;32
2018-02;40
2018-03;28
2018-04;26
2018-05;25
